Index,Color,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
0,Blue,-0.03831916,-0.05550991,0.9977226,-0.008697535,-0.06678791,0.9977293,2.924988,2.924988,1,1,1.789229,0.02292264
0,Blue,-0.03797404,-0.05620316,0.9976969,-0.008682364,-0.06709377,0.9977089,2.931992,2.931992,1,1,1.809538,0.02030957
0,Blue,-0.03776458,-0.05684594,0.9976684,-0.008438228,-0.06733797,0.9976945,2.924866,2.924866,1,1,1.83356,0.02402127
0,Blue,-0.03742044,-0.05682013,0.9976829,-0.009750444,-0.0674749,0.9976733,2.921219,2.921219,1,1,1.854863,0.02130342
0,Blue,-0.03724834,-0.05672354,0.9976948,-0.008010953,-0.06765822,0.9976764,2.92453,2.92453,1,1,1.876535,0.02167141
0,Blue,-0.03693914,-0.05702065,0.9976894,-0.009414685,-0.06806954,0.9976361,2.940552,2.940552,1,1,1.89783,0.02129507
0,Blue,-0.03701118,-0.05745116,0.9976621,-0.01000989,-0.06759727,0.9976625,2.945374,2.945374,1,1,1.921402,0.02357221
0,Blue,-0.03679421,-0.05761768,0.9976605,-0.01084909,-0.06662042,0.9977194,2.933136,2.933136,1,1,1.943634,0.02223253
0,Blue,-0.03660101,-0.05729246,0.9976863,-0.009399562,-0.06695662,0.9977116,2.959778,2.959778,1,1,1.966758,0.02312326
0,Blue,-0.03649839,-0.05687897,0.9977137,-0.009124877,-0.06793303,0.9976481,2.960007,2.960007,1,1,1.988494,0.02173591
1,Red,-0.03619098,-0.05637543,0.9977535,-0.01033033,-0.07042017,0.9974639,2.975189,2.975189,1,1,2.010843,0.022349
1,Red,-0.03621759,-0.05616752,0.9977643,-0.008621288,-0.07005369,0.997506,2.992737,2.992737,1,1,2.067859,0.05701637
1,Red,-0.03623886,-0.05644376,0.9977478,-0.009201086,-0.0711215,0.9974253,2.992493,2.992493,1,1,2.091481,0.02362204
1,Red,-0.03616492,-0.05686592,0.9977266,-0.009552102,-0.07098462,0.9974317,3.008408,3.008408,1,1,2.121255,0.02977443
1,Red,-0.03606593,-0.05708224,0.9977179,-0.01110844,-0.07063322,0.9974405,2.997406,2.997406,1,1,2.14335,0.02209473
1,Red,-0.03598115,-0.0574394,0.9977004,-0.01171892,-0.07081707,0.9974204,3.008377,3.008377,1,1,2.167093,0.02374291
1,Red,-0.03635047,-0.05797969,0.9976557,-0.0134125,-0.0706941,0.9974079,2.997635,2.997635,1,1,2.188166,0.0210731
1,Red,-0.03648375,-0.05829333,0.9976326,-0.01431281,-0.0706943,0.9973953,3.010162,3.010162,1,1,2.209618,0.02145219
1,Red,-0.03639201,-0.05822558,0.9976399,-0.01448067,-0.07128946,0.9973506,3.010284,3.010284,1,1,2.23284,0.02322197
1,Red,-0.03601987,-0.0579224,0.9976711,-0.01354993,-0.07247991,0.9972779,3.03891,3.03891,1,1,2.255178,0.02233791
1,Red,-0.03615838,-0.05797548,0.997663,-0.01417553,-0.07321225,0.9972156,3.044693,3.044693,1,1,2.277218,0.02203989
1,Red,-0.03619737,-0.05779017,0.9976724,-0.01428243,-0.0743419,0.9971305,3.057037,3.057037,1,1,2.300434,0.02321577
1,Red,-0.03637228,-0.05735378,0.9976912,-0.01371769,-0.07316608,0.9972254,3.055695,3.055695,1,1,2.321567,0.02113295
1,Red,-0.03660595,-0.05752222,0.9976729,-0.01303117,-0.07315157,0.9972357,3.060822,3.060822,1,1,2.34464,0.02307296
1,Red,-0.03699107,-0.05796345,0.9976331,-0.01336672,-0.07386789,0.9971784,3.064331,3.064331,1,1,2.366696,0.0220561
1,Red,-0.03714152,-0.05835155,0.9976049,-0.01324467,-0.07428,0.9971495,3.064896,3.064896,1,1,2.389556,0.02286029
1,Red,-0.03745192,-0.05835405,0.9975932,-0.01316851,-0.07476905,0.9971139,3.062012,3.062012,1,1,2.410291,0.02073526
1,Red,-0.03825703,-0.05795181,0.9975861,-0.01432809,-0.07525682,0.9970613,3.062241,3.062241,1,1,2.43314,0.02284884
1,Red,-0.03876619,-0.05737376,0.9975998,-0.01342785,-0.07498235,0.9970945,3.059311,3.059311,1,1,2.454063,0.02092314
1,Red,-0.03921645,-0.05679329,0.9976154,-0.01220706,-0.07363911,0.9972103,3.040009,3.040009,1,1,2.476983,0.02291942
