Index,Color,Talking,Camera X,Camera Y,Camera Z,Combine Gaze X,Combine Gaze Y,Combine Gaze Z,Left Pupil Diameter,Right Pupil Diameter,Left Eye Openness,Right Eye Openness,Total Time,Delta Time
1,Blue,FALSE,-0.1041749,-0.1289357,0.9861659,0.04165693,-0.003601112,0.9991255,3.464096,3.464096,1,1,2.6736,0.01987791
1,Blue,FALSE,-0.1044193,-0.1284893,0.9861984,0.04196225,-0.00335698,0.9991136,3.476471,3.476471,1,1,2.689677,0.01607609
1,Blue,FALSE,-0.1048662,-0.1281659,0.986193,0.04150453,-0.004074158,0.99913,3.492355,3.492355,1,1,2.709488,0.01981163
1,Blue,FALSE,-0.1050613,-0.1269428,0.9863304,0.04179442,-0.009246957,0.9990835,3.454803,3.454803,1,1,2.732649,0.0231607
1,Blue,FALSE,-0.1055593,-0.1259452,0.9864051,0.04196202,-0.007278502,0.9990927,3.474258,3.474258,1,1,2.756438,0.02378941
1,Blue,FALSE,-0.1057252,-0.1256974,0.986419,0.042267,-0.008178741,0.9990728,3.493225,3.493225,1,1,2.773285,0.0168469
1,Blue,FALSE,-0.1059312,-0.1254743,0.9864252,0.04315224,-0.01014718,0.999017,3.527084,3.527084,1,1,2.792511,0.01922584
1,Blue,FALSE,-0.1056392,-0.126204,0.9863635,0.04960652,-0.001312261,0.998768,3.532074,3.532074,1,1,2.809443,0.01693177
1,Blue,FALSE,-0.105547,-0.1258998,0.9864122,0.05021672,-0.002822878,0.9987344,3.539505,3.539505,1,1,2.832,0.02255678
1,Blue,FALSE,-0.1054263,-0.1251337,0.9865226,0.05015597,-0.001571666,0.9987402,3.558563,3.558563,1,1,2.855086,0.02308631
1,Blue,FALSE,-0.1055726,-0.1240394,0.9866452,0.04473945,-0.003402762,0.9989929,3.544983,3.544983,1,1,2.87694,0.0218544
1,Blue,FALSE,-0.1060897,-0.1230435,0.9867144,0.04331999,-0.005630531,0.9990454,3.525238,3.525238,1,1,2.899004,0.02206421
1,Blue,FALSE,-0.1064364,-0.1221825,0.986784,0.04267912,-0.01335153,0.9989996,3.526428,3.526428,1,1,2.920925,0.02192068
1,Blue,FALSE,-0.1069497,-0.1211185,0.9868597,0.04309112,-0.01315317,0.9989846,3.50914,3.50914,1,1,2.942848,0.02192259
1,Blue,FALSE,-0.107361,-0.1202979,0.9869154,0.04791283,-0.01159674,0.9987842,3.502213,3.502213,1,1,2.964982,0.0221343
1,Blue,FALSE,-0.1079968,-0.1198915,0.9868954,0.04718062,-0.01501479,0.9987735,3.49263,3.49263,1,1,2.988791,0.02380848
1,Blue,FALSE,-0.1085387,-0.1202592,0.9867913,0.04537987,-0.02218639,0.9987234,3.463608,3.463608,1,1,3.009691,0.02090025
1,Blue,FALSE,-0.1091577,-0.12016,0.9867351,0.04740965,-0.02374297,0.9985933,3.451523,3.451523,1,1,3.032066,0.02237558
1,Blue,FALSE,-0.1093801,-0.1201005,0.9867177,0.04823364,-0.02269011,0.9985784,3.416992,3.416992,1,1,3.05325,0.02118397
1,Blue,FALSE,-0.1095183,-0.1200919,0.9867035,0.04837101,-0.02554356,0.9985028,3.365158,3.365158,1,1,3.075921,0.02267051
1,Blue,FALSE,-0.1095589,-0.1194779,0.9867735,0.04898097,-0.02406324,0.9985098,3.333511,3.333511,1,1,3.097863,0.02194214
1,Blue,FALSE,-0.109463,-0.1200174,0.9867187,0.04907237,-0.02131657,0.9985678,3.299774,3.299774,1,1,3.12099,0.02312732
1,Blue,FALSE,-0.1088956,-0.1221775,0.9865164,0.04922516,-0.01757824,0.998633,3.272186,3.272186,1,1,3.142862,0.02187157
1,Blue,FALSE,-0.1085606,-0.1223291,0.9865344,0.05101058,-0.01921098,0.9985133,3.265869,3.265869,1,1,3.164825,0.02196288
1,Blue,FALSE,-0.1082426,-0.121648,0.9866536,0.05155984,-0.01774611,0.9985122,3.259262,3.259262,1,1,3.188345,0.02352023
1,Blue,FALSE,-0.1074675,-0.1219471,0.9867014,0.08142135,-0.009628349,0.9966333,3.323196,3.323196,1,1,3.210853,0.02250838
1,Blue,FALSE,-0.1064201,-0.1222157,0.9867817,0.0777901,-0.01321425,0.9968821,3.223541,3.223541,1,1,3.231547,0.02069402
1,Blue,FALSE,-0.1054281,-0.1221256,0.9868993,0.07925529,-0.00939955,0.99681,3.054657,3.054657,0.8465924,0.9716305,3.25346,0.02191281
1,Blue,FALSE,-0.1048812,-0.1222786,0.9869387,0,0,1,-1,-1,0.3553129,0.583339,3.276382,0.02292156
1,Blue,FALSE,-0.1043421,-0.1226598,0.9869485,0,0,1,-1,-1,0.09835442,0.3665146,3.298319,0.02193737
1,Blue,FALSE,-0.1035649,-0.1231296,0.9869719,0,0,1,-1,-1,0.05316902,0.354007,3.32064,0.02232075
1,Blue,FALSE,-0.1032703,-0.1235612,0.9869488,0,0,1,2.834534,2.834534,0.353841,0.645814,3.343323,0.02268267
1,Blue,FALSE,-0.1031522,-0.124005,0.9869055,0,0,1,2.826019,2.826019,0.4703279,0.7598113,3.364393,0.02107
1,Blue,FALSE,-0.1032139,-0.1237848,0.9869267,0.08860843,0.02955649,0.9956279,3.13205,3.13205,0.6227033,0.8717628,3.387316,0.02292299
1,Blue,TRUE,-0.1035501,-0.1237022,0.9869018,0.07722525,0.01817334,0.996848,3.081192,3.081192,0.7549042,0.9975086,3.409014,0.02169824
